# Generated from ../data/13JUL2013/000.dat
time v v_c
24.33 1.9474 2
24.335 1.94646 2
24.34 1.94576 2
24.345 1.94526 2
24.35 1.94488 2
24.355 1.94463 2
24.36 1.94442 2
24.365 1.94429 2
24.37 1.93389 2
24.375 1.93936 2
24.38 1.94059 2
24.385 1.9415 2
24.39 1.94214 2
24.395 1.94263 2
24.4 1.93268 2
24.405 1.93848 2
24.41 1.93994 2
24.415 1.93074 2
24.42 1.93705 2
24.425 1.93892 2
24.43 1.92998 2
24.435 1.93651 2
24.44 1.93851 2
24.445 1.9297 2
24.45 1.93629 2
24.455 1.93837 2
24.46 1.93986 2
24.465 1.94097 2
24.47 1.94175 2
24.475 1.93206 2
24.48 1.93801 2
24.485 1.93962 2
24.49 1.94077 2
24.495 1.94163 2
24.5 1.94224 2
24.505 1.9427 2
24.51 1.94302 2
24.515 1.94327 2
24.52 1.94343 2
24.525 1.94357 2
24.53 1.94365 2
24.535 1.93344 2
24.54 1.93902 2
24.545 1.94035 2
24.55 1.94131 2
24.555 1.94202 2
24.56 1.94252 2
24.565 1.94291 2
24.57 1.94317 2
24.575 1.94338 2
24.58 1.94351 2
24.585 1.94363 2
24.59 1.94369 2
24.595 1.94376 2
24.6 1.9335 2
24.605 1.93908 2
24.61 1.94038 2
24.615 1.94135 2
24.62 1.95232 2
24.625 1.9473 2
24.63 1.95665 2
24.635 1.95045 2
24.64 1.94866 2
24.645 1.94738 2
24.65 1.94643 2
24.655 1.94575 2
24.66 1.94524 2
24.665 1.95517 2
24.67 1.94936 2
24.675 1.94788 2
24.68 1.94679 2
24.685 1.94602 2
24.69 1.94543 2
24.695 1.95531 2
24.7 1.94946 2
24.705 1.94796 2
24.71 1.94685 2
24.715 1.94606 2
24.72 1.94546 2
24.725 1.94505 2
24.73 1.95501 2
24.735 1.94926 2
24.74 1.9478 2
24.745 1.94675 2
24.75 1.95625 2
24.755 1.95016 2
24.76 1.94845 2
24.765 1.94723 2
24.77 1.94631 2
24.775 1.94567 2
24.78 1.95547 2
24.785 1.94959 2
24.79 1.94804 2
24.795 1.95721 2
24.8 1.95084 2
24.805 1.94897 2
24.81 1.94758 2
24.815 1.95688 2
24.82 1.9506 2
24.825 1.94879 2
24.83 1.95774 2
24.835 1.95125 2
24.84 1.94924 2
24.845 1.9478 2
24.85 1.94673 2
24.855 1.94597 2
24.86 1.9454 2
24.865 1.945 2
24.87 1.9447 2
24.875 1.94449 2
24.88 1.95461 2
24.885 1.95925 2
24.89 1.95233 2
24.895 1.96034 2
24.9 1.9634 2
24.905 1.95537 2
24.91 1.95225 2
24.915 1.96028 2
24.92 1.95308 2
24.925 1.95059 2
24.93 1.95905 2
24.935 1.96249 2
24.94 1.95469 2
24.945 1.96205 2
24.95 1.96466 2
24.955 1.97686 2
24.96 1.98298 2
24.965 1.97717 2
24.97 1.97567 2
24.975 1.97459 2
24.98 1.9635 2
24.985 1.96848 2
24.99 1.96934 2
24.995 1.96998 2
25 1.98072 2
25.005 1.97552 2
25.01 1.97447 2
25.015 1.984 2
25.02 1.9779 2
25.025 1.97622 2
25.03 1.97497 2
25.035 1.98437 2
25.04 1.98846 2
25.045 1.98116 2
25.05 1.97858 2
25.055 1.97671 2
25.06 1.97533 2
25.065 1.97435 2
25.07 1.97361 2
25.075 1.98338 2
25.08 1.97745 2
25.085 1.97589 2
25.09 1.97473 2
25.095 1.97391 2
25.1 1.98358 2
25.105 1.97761 2
25.11 1.97599 2
25.115 1.98511 2
25.12 1.98899 2
25.125 1.99184 2
25.13 1.9836 2
25.135 1.98038 2
25.14 1.98829 2
25.145 1.99133 2
25.15 1.99352 2
25.155 1.99514 2
25.16 1.9963 2
25.165 1.99716 2
25.17 1.99777 2
