# Generated from ../data/13JUL2013/000.dat
time T_rw T_rw_desired T_s T_s_desired
27.16 -4.91514 -4.91514 0.189994 0.189994
27.18 -6.42319 -6.42319 0.373098 0.373098
27.2 -5.62719 -5.62719 0.139725 0.139725
27.22 -5.91848 -5.91848 0.146026 0.146026
27.24 -5.48635 -5.48635 0.207772 0.207772
27.26 -5.74036 -5.74036 0.0570435 0.0570435
27.28 -4.54747 -4.54747 0.241854 0.241854
27.3 -5.47695 -5.47695 0.300066 0.300066
27.32 -6.89543 -6.89543 0.0503735 0.0503735
27.34 -4.07535 -4.07535 0.30622 0.30622
27.36 -6.6599 -6.6599 0.31075 0.31075
27.38 -5.91644 -5.91644 0.110664 0.110664
27.4 -6.19737 -6.19737 0.141412 0.141412
27.42 -5.5705 -5.5705 0.349736 0.349736
27.44 -6.61609 -6.61609 0.242738 0.242738
27.46 -8.11106 -8.11106 0.0989167 0.0989167
27.48 -8.37499 -8.37499 0.196815 0.196815
27.5 -8.64217 -8.64217 0.287979 0.287979
27.52 -8.71837 -8.71837 0.190057 0.190057
27.54 -7.72432 -7.72432 -0.032672 -0.032672
27.56 -8.053 -8.053 -0.066246 -0.066246
27.58 -8.36351 -8.36351 0.32223 0.32223
27.6 -7.93708 -7.93708 0.299103 0.299103
27.62 -6.99342 -6.99342 -0.0834971 -0.0834971
27.64 -8.5574 -8.5574 0.19965 0.19965
27.66 -6.08814 -6.08814 0.32391 0.32391
27.68 -6.06618 -6.06618 -0.07123 -0.07123
27.7 -6.06072 -6.06072 -0.0347558 -0.0347558
27.72 -5.92017 -5.92017 0.28253 0.28253
27.74 -7.03727 -7.03727 0.248755 0.248755
27.76 -6.03858 -6.03858 -0.00290528 -0.00290528
27.78 -7.07206 -7.07206 -0.0167315 -0.0167315
27.8 -6.38136 -6.38136 0.0346017 0.0346017
27.82 -6.3456 -6.3456 0.102524 0.102524
27.84 -5.62956 -5.62956 -0.0230802 -0.0230802
27.86 -6.65003 -6.65003 -0.0633859 -0.0633859
27.88 -6.23158 -6.23158 -0.0454323 -0.0454323
27.9 -5.59958 -5.59958 0.0299792 0.0299792
27.92 -7.32851 -7.32851 0.00950393 0.00950393
27.94 -7.65821 -7.65821 -0.0514335 -0.0514335
27.96 -8.08345 -8.08345 -0.0692095 -0.0692095
27.98 -8.2041 -8.2041 0.075787 0.075787
28 -7.22237 -7.22237 -0.00401215 -0.00401215
28.02 -6.39839 -6.39839 -0.159621 -0.159621
28.04 -6.54216 -6.54216 0.0372601 0.0372601
28.06 -5.69353 -5.69353 0.0997757 0.0997757
28.08 -5.83018 -5.83018 -0.0353375 -0.0353375
28.1 -7.0254 -7.0254 -0.0705697 -0.0705697
28.12 -4.14246 -4.14246 0.1136 0.1136
