# Generated from ../data/13JUL2013/000.dat
freq T_rw T_rw_desired T_s T_s_desired
56.044 83.513 160.127 1 1
56.1439 73.3632 132.367 1 1
56.2438 171.41 261.889 1 1
56.3437 346.443 592.416 1 1
56.4436 75.3443 230.56 1 1
56.5435 93.5319 174.02 1 1
56.6434 79.6687 146.633 1 1
56.7433 78.6942 156.634 1 1
56.8432 198.93 351.004 1 1
56.9431 220.71 400.786 1 1
57.043 128.871 228.981 1 1
57.1429 101.436 220.893 1 1
57.2428 111.191 197.291 1 1
57.3427 132.505 234.362 1 1
57.4426 148.972 254.211 1 1
57.5425 83.6458 168.237 1 1
57.6424 314.346 755.484 1 1
57.7423 72.8121 159.802 1 1
57.8422 76.5398 127.875 1 1
57.9421 109.045 207.427 1 1
58.042 76.5298 128.453 1 1
58.1419 179.005 300.329 1 1
58.2418 115.593 222.184 1 1
58.3417 322.049 494.845 1 1
58.4416 28.1366 68.4905 1 1
58.5415 57.6102 138.872 1 1
58.6414 104.083 189.983 1 1
58.7413 112.48 271.517 1 1
58.8412 62.5815 109.503 1 1
58.9411 135.958 212.774 1 1
59.041 325.399 514.222 1 1
59.1409 64.8269 128.093 1 1
59.2408 120.393 243.994 1 1
59.3407 82.4965 132.92 1 1
59.4406 47.0308 94.0874 1 1
59.5405 78.4156 179.172 1 1
59.6404 44.4048 84.1341 1 1
59.7403 188.601 304.153 1 1
59.8402 521.69 832.346 1 1
59.9401 94.2405 177.339 1 1
60.04 72.6714 153.127 1 1
60.1399 160.4 278.553 1 1
60.2398 204.644 409.172 1 1
60.3397 79.049 156.298 1 1
60.4396 79.9451 136.808 1 1
60.5395 132.733 228.415 1 1
60.6394 183.295 315.258 1 1
60.7393 416.998 809.587 1 1
60.8392 60.762 124.362 1 1
60.9391 91.2416 176.893 1 1
61.039 316.989 560.814 1 1
61.1389 234.418 437.396 1 1
61.2388 192.101 338.581 1 1
61.3387 171.85 308.253 1 1
61.4386 168.339 309.051 1 1
61.5385 53.1019 113.758 1 1
61.6384 154.454 282.463 1 1
61.7383 103.977 194.319 1 1
61.8382 339.937 639.186 1 1
61.9381 67.7405 130.528 1 1
62.038 91.7687 177.524 1 1
62.1379 170.218 312.274 1 1
62.2378 107.865 199.966 1 1
62.3377 121.858 232.685 1 1
62.4376 238.692 443.502 1 1
62.5375 112.746 211.685 1 1
62.6374 186.247 348.191 1 1
62.7373 129.165 241.359 1 1
62.8372 81.3896 149.383 1 1
62.9371 82.6133 151.892 1 1
63.037 134.543 246.604 1 1
63.1369 55.4412 102.138 1 1
63.2368 99.9354 185.863 1 1
63.3367 172.085 320.012 1 1
63.4366 75.4718 144.285 1 1
63.5365 178.38 345.022 1 1
63.6364 89.9245 163.846 1 1
63.7363 91.33 177.718 1 1
63.8362 222.999 438.795 1 1
63.9361 92.5568 174.529 1 1
64.036 117.652 212.89 1 1
64.1359 114.792 208.854 1 1
64.2358 211.295 391.34 1 1
64.3357 96.5962 187.64 1 1
64.4356 90.2985 166.616 1 1
64.5355 360.928 653.974 1 1
64.6354 110.663 200.91 1 1
64.7353 58.9879 117.217 1 1
64.8352 100.067 175.709 1 1
64.9351 78.2088 135.784 1 1
65.035 128.501 238.69 1 1
65.1349 133.16 251.566 1 1
65.2348 67.7995 137.227 1 1
65.3347 192.723 327.338 1 1
65.4346 370.404 704.613 1 1
65.5345 338.025 588.275 1 1
65.6344 90.1362 182.814 1 1
65.7343 149.954 277.34 1 1
65.8342 75.7297 154.295 1 1
65.9341 125.762 226.892 1 1
66.034 167.096 324.24 1 1
66.1339 82.4331 139.087 1 1
66.2338 109.32 191.104 1 1
66.3337 70.5427 145.866 1 1
66.4336 62.7177 130.109 1 1
66.5335 98.1941 167.032 1 1
66.6334 98.2607 161.704 1 1
66.7333 74.3073 135.75 1 1
66.8332 75.7999 135.475 1 1
66.9331 26.6761 65.8547 1 1
67.033 69.016 125.294 1 1
67.1329 171.837 361.608 1 1
67.2328 100.881 169.394 1 1
67.3327 144.81 251.251 1 1
67.4326 154.64 316.927 1 1
67.5325 136.065 261.731 1 1
67.6324 88.8756 149.731 1 1
67.7323 200.125 396.977 1 1
67.8322 69.5784 118.483 1 1
67.9321 63.9171 177.673 1 1
68.032 555.107 904.868 1 1
68.1319 83.0248 132.65 1 1
68.2318 79.5216 131.09 1 1
68.3317 110.773 194.968 1 1
68.4316 88.3788 189.445 1 1
68.5315 80.7692 129.038 1 1
68.6314 200.931 315.235 1 1
68.7313 72.805 119.007 1 1
68.8312 208.09 382.138 1 1
68.9311 127.435 260.024 1 1
69.031 94.7901 220.095 1 1
69.1309 88.3093 139.273 1 1
69.2308 749.679 1259.5 1 1
69.3307 104.051 166.522 1 1
69.4306 45.7512 94.8158 1 1
69.5305 90.5652 178.045 1 1
69.6304 45.9821 91.2212 1 1
69.7303 458.267 779.903 1 1
69.8302 212.908 378.101 1 1
69.9301 54.4766 102.218 1 1
70.03 66.4948 139.56 1 1
70.1299 58.6413 100.859 1 1
70.2298 128.106 242.085 1 1
70.3297 44.7157 87.3514 1 1
70.4296 224.264 388.793 1 1
70.5295 89.1546 147.883 1 1
70.6294 51.1214 118.899 1 1
70.7293 69.9926 125.714 1 1
70.8292 282.134 494.826 1 1
70.9291 61.107 116.025 1 1
71.029 64.8658 114.287 1 1
71.1289 90.1278 160.153 1 1
71.2288 550.44 980.65 1 1
71.3287 149.933 325.735 1 1
71.4286 88.481 160.092 1 1
71.5285 187.733 330.904 1 1
71.6284 185.798 390.081 1 1
71.7283 98.7317 182.462 1 1
71.8282 55.8788 111.796 1 1
71.9281 60.5829 117.052 1 1
72.028 202.727 362.275 1 1
72.1279 208.853 357.705 1 1
72.2278 52.6888 92.1409 1 1
72.3277 75.1057 137.279 1 1
72.4276 77.0227 138.157 1 1
72.5275 66.9125 129.791 1 1
72.6274 88.9752 180.804 1 1
72.7273 64.7914 118.937 1 1
72.8272 109.125 210.03 1 1
72.9271 109.78 213.869 1 1
73.027 59.9304 110.197 1 1
73.1269 48.0288 89.1382 1 1
73.2268 423.141 799.518 1 1
73.3267 82.6398 156.265 1 1
73.4266 72.4725 133.064 1 1
73.5265 89.2715 164.675 1 1
73.6264 82.081 151.827 1 1
73.7263 81.6858 152.301 1 1
73.8262 91.8338 171.07 1 1
73.9261 119.633 224.114 1 1
74.026 100.211 187.09 1 1
